,R,G,B,label
6330,0.5405944999944265,0.5037651963571103,0.417537682952658,-1.0
5683,0.5328155355930271,0.47465210582279,0.3901107350365022,-1.0
517,0.4463370055637615,0.4539236845092598,0.4146873096126189,-1.0
176,0.5979733835273838,0.5285842283258906,0.4124826012179345,-1.0
1960,0.4971080038963236,0.502178940323852,0.4237949619298709,-1.0
2070,0.5795086657191901,0.569240329184219,0.487273477612908,-1.0
4752,0.356955901520559,0.4287138474430398,0.433701603564709,1.0
4801,0.6022945224428699,0.488802299473183,0.3244316113494261,1.0
3132,0.5203158411726926,0.4626550735901297,0.4307365489548421,-1.0
3707,0.3039276032954114,0.3721758357411658,0.4502238861813345,-1.0
